,date_posted,funny,helpful,hour_played,is_early_access_review,recommendation,review,title
120978,2018-06-07,1,2,495,False,Not Recommended,"For 59$'s it isn't worth it maybe get it on sale like I did I remember I got it on sale for Christmas it was brought down half so that was nice. Maybe 30 40 is a nice price I know it takes a lot to make these games but it isn't worth it. Online wasn't great either as you start having modders on PC and some consoles. I'm glad I tried this game but like I said for the price I got it at it was well worth. If I got it for 60$'s I would've been disappointed. The story was great and have played it was twice and very great all though it doesn't have that ""story line"" that you can follow it's just kind of characters you are given and then you start following a story I wish GTA would follow through with GTA 4 story would match GTA 5 better.",Grand Theft Auto V
365188,2017-05-10,3,2,428,True,Recommended,"For me Rust is a game for players who like a challenge sadly this latest update has some minor issues but theres nothing to worry about. Facepunch studios (creators of Rust) do the things right in the fastest way possible they listen to what the players are asking to fix in this fantastic game take the c4 exploit as an example but if you dont know what it is then lets get right to it. the c4 exploit is where you can get a ton by meaning a ton is lets say millions of c4 (raiding tools) which in us rust players were really bad but the good thing was that its fixed in very little time meaning ""they do the right things in the fastest way possible"". this game is really fun when you get your hands on the mechanics of the game or lets say when you have learned the basics on how the game works BUT i do suggest to have friends be playing with you if you dont then maybe when a server has restarted you could ask a player for some teamwork but a neutral amount of players are very greedy and want to kill you and snatch all your loot and resources. but in my case i was a friendly guy and when someone asked for teamwork i was very polite and said ""me"". and that was the time where i met my friend named Zach so far i think Rust can train your social skills and teamwork with other people by playing this game and by this last sentence i now answer the question ""Do i recommend this game?"" and the answer is YES and why? because the game is very fun to play in a very cheap price but it can be very dissapointing when you get killed or either raided. and thats why i said in the very beginning that this is for players who like a challenge.",Rust
366973,2016-12-28,2,2,10,True,Recommended,Pros bears can walk through wallsCon bears can attack through wallsWould reccomend.,Rust
252412,2017-06-27,1,3,72,True,Recommended,Its way better than H1Z1 in so many ways and love it! ),PLAYERUNKNOWN'S BATTLEGROUNDS
121973,2017-07-27,2,3,2,False,Recommended,its just like wii golf but with cars,Grand Theft Auto V
25063,2018-08-26,1,3,50,False,Not Recommended,The PC version has a lot of problems bad performance bad servers unability to pause the game even in offline singleplayer bad interface stupid limitations in carrying slots,MONSTER HUNTER: WORLD
285412,2017-07-02,1,3,221,True,Recommended,Arma 3 with more action. Sounds good,PLAYERUNKNOWN'S BATTLEGROUNDS
365181,2016-05-14,1,2,155,True,Recommended,Garry gave us a rock. What we did with that rock made rust.,Rust
65048,2016-09-18,1,2,1,False,Not Recommended,Devs can't handle the bantz.,Rocket League®
245916,2018-01-06,2,4,348,False,Not Recommended,"Laggy ing pile of game. Literally it has taken them months with all our ing money and where does it go? To making another ing map while the game still does not ing work. Its the ing Korean developers or some ""China number one""? ing hackers as well I'm glad they added a death cam into it now i can see some Asian kid with ""121212324"" for a name firing 50 meters ahead of me and still killing me. The only reason as to why this game has done so well is due to the unique idea/style. Asides from that you'll drop down onto the map and experiance textures not loading or the game freezing AT THE WORST POINTS as if it was on ing purpose. Yeah anyway this review was made several minutes after i was killed via the amazing ing freezing i'm going back to another match now.Aha Yeah okay so let me update this pile of wank. Getting temp banned because your poor rendering system won't load in the walls is a lovely added feature. Where on earth does all the money you gain from keys go to restocking the Korean developer team's vending machines full of rice or something?",PLAYERUNKNOWN'S BATTLEGROUNDS
120209,2018-12-10,1,2,8,False,Not Recommended,Pay to win waiting simulator,Grand Theft Auto V
367303,2015-03-25,1,2,488,True,Recommended,This game is on ALPHA but on a nice way. I think when its finished it will be the best survival game ever its even in the alpha very nice so get it and play it.,Rust
171603,2015-04-14,5,19,8,False,Not Recommended,"so i tried to launch this game for 4 hours now but it just keeps ""loading"". I dont think that i payed 60$ for a game that is just ""loading""",Grand Theft Auto V
148662,2016-06-05,1,2,135,False,Recommended,Great game.,Grand Theft Auto V
27947,2018-08-09,5,4,82,False,Recommended,Amazing game but not as good as............SUUUUUPER MARIO BROTHERS TWO BAEBEE!!!!,MONSTER HUNTER: WORLD
147242,2015-04-15,2,2,343,False,Recommended,&gt Inb4 crash bug&gt Game launches fine&gt Laugh at friends with crash bug&gt Inb4 no multiplayer&gt No multiplayer&gt I Cry10/10 would cry again,Grand Theft Auto V
60828,2016-09-25,1,13,546,False,Not Recommended,My answer can't be just plain YES/NO I put No because it leans towards it. Don't get me wrong it's a lot of fun but that fun is often killed with minor stuff.My first problem is that I often see someone hit a ball deflects it in other direction and after a split second it resets and follows the previous path. This is enough to confuse you and miss the otherwise easy ball. This happens once or twice in every to games to me.Second problem I'm having is ranks in matchmaking. Just to set things straight I'm playing ranked 2v2 with my friend both same rank and division and both pretty much the same level.BEFORE last update which introduced crates we were constantly getting opponents whos combined rank was 2 3 ranks above ours which was sometimes a problem.NOW I don't have this problem but last few games I had opponents that had below 15 hours had Semi Pro level and were solid 3 ranks above us which played a lot better than us. I'm not saying I'm perfect in fact I'm not even good but playing against these is like playing against blue ranks (which is admirable).Plus a minor annoyance which is not being able to select which maps you can play because some people don't like Neo Tokyo map. The traction on some surfaces is very odd and feels like the walls on every map have some special coding just to hold the car on it. It seems as if the bumps are slippery and your car doesn't grip.,Rocket League®
296939,2017-08-06,1,4,644,True,Not Recommended,unplayable dont buy this,PLAYERUNKNOWN'S BATTLEGROUNDS
244438,2018-08-04,1,2,66,False,Recommended,Great fun game to play alone or with friends.But it gets annoying after a while when you have never gotten a win *bashes keyboard* Ermmm unless you have a backup keyboard dont play this,PLAYERUNKNOWN'S BATTLEGROUNDS
240969,2017-09-16,1,2,716,True,Recommended,gewd gayme,PLAYERUNKNOWN'S BATTLEGROUNDS
375839,2016-07-13,1,2,99,True,Not Recommended,at start got a stone to cutting a woods/rocksi'm build a basea base in cave with 100 doors and much walls20 thompsons and a lot weaponsturrets with 500 bullets1000+ HQQa hours couple later someone raided usi don't know how they raided a base with 100 doors lolNo thanks i'll wait for best update that nobody can destroy a base easily with 100+ doors of course its early acces but that insane ...So for now its my review and its negative.,Rust
220388,2017-12-06,2,8,25,True,Not Recommended,Stupid blue hole and they will nerver nerver nerver ban hacker.,PLAYERUNKNOWN'S BATTLEGROUNDS
150747,2017-05-06,3,3,186,False,Not Recommended,Product received for free. Too expensive,Grand Theft Auto V
293387,2017-08-06,1,2,115,True,Not Recommended,please fix your game (,PLAYERUNKNOWN'S BATTLEGROUNDS
155086,2017-10-13,2,4,441,False,Recommended,HOW TO MAKE HOMEMADE BREADIn a large bowl dissolve yeast in warm water. Add the sugar salt oil and 3 cups flour. Beat until smooth. Stir in enough remaining flour 1/2 cup at a time to form a soft dough.Turn onto a floured surface knead until smooth and elastic 8 10 minutes. Place in a greased bowl turning once to grease the top. Cover and let rise in a warm place until doubled about 1 1/2 hours.Punch dough down. Turn onto a lightly floured surface divide dough in half. Shape each into a loaf. Place in two greased 9x5 in. loaf pans. Cover and let rise until doubled about 30 45 minutes.Bake at 375 for 30 35 minutes or until golden brown and bread sounds hollow when tapped. Remove from pans to wire racks to cool. Yield 2 loaves (16 slices each).Servers are,Grand Theft Auto V
122020,2016-10-25,1,3,595,False,Not Recommended,rip tar,Grand Theft Auto V
120427,2017-11-19,2,2,84,False,Recommended,Jedna z nejlepších her co jsem kdy hrál &lt 3 ),Grand Theft Auto V
254366,2018-05-07,1,2,534,False,Not Recommended,Recent update made this game unplayeable. As it wasn't hard enough to hit something the recoil now is so big it's impossible. This is supposed to be a game you know not a simulator.,PLAYERUNKNOWN'S BATTLEGROUNDS
295443,2017-06-18,11,5,271,True,Not Recommended,SERVERS CRASHED ALL TIME. NET CODE WRITTEN BY SLAVE CHILDREN FROM INDIA.,PLAYERUNKNOWN'S BATTLEGROUNDS
136885,2017-06-27,2,5,15,False,Not Recommended,That moment when Take Two completly destroys their own company. GTA V had a great modding community. What the hijabs.,Grand Theft Auto V
174191,2015-04-13,1,7,147,False,Not Recommended,pc master race nerds.. hope you enjoy your 2 yr old game you paid full price for LMAO,Grand Theft Auto V
220504,2017-10-26,1,4,762,True,Not Recommended,nice server,PLAYERUNKNOWN'S BATTLEGROUNDS
2671,2018-05-24,1,4,0,False,Not Recommended,By far the stupidest game I have ever played. 0 balance. Piece of game. Even if this was free it isn't worth trying. Killer op no weakness. Survivors have nothing from the start to defend themselves.,Dead by Daylight
292972,2017-04-05,1,3,57,True,Not Recommended,hackers paradise,PLAYERUNKNOWN'S BATTLEGROUNDS
364534,2017-12-29,1,2,12,True,Not Recommended,"8 attempted base builds 8 times where I've been surprised by a geared enemy who killed me while I had no way to fight back. 9 hours of playtime 9 of which can be described as ""hope nobody discovers me"". 0 hours of actually playing the game. 0/10 cannot recommend.",Rust
154950,2015-05-21,6,7,345,False,Recommended,GTA V Online Loading simulator 2015,Grand Theft Auto V
2975,2018-05-26,1,2,124,False,Not Recommended,Edit 12.06.2018 now it has microtransactions.... https //steamcommunity.com/sharedfiles/filedetails/?id 1409933984 The community and devs are toxic af. Don't buy it. Better get https //store.steampowered.com/app/438740/Friday_the_13th_The_Game/,Dead by Daylight
137278,2016-01-02,3,3,203,False,Not Recommended,now get the outta here!,Grand Theft Auto V
260386,2017-11-25,1,2,444,True,Recommended,Jay loves this game but pretends he doesnt,PLAYERUNKNOWN'S BATTLEGROUNDS
216045,2018-04-04,1,2,290,False,Recommended,,PLAYERUNKNOWN'S BATTLEGROUNDS
292620,2017-07-18,1,4,146,True,Not Recommended,ING EARLY ACCESS GAME CRASHES AND FREEZES AND ING SERVERS ING GAMEPLAY IS OK,PLAYERUNKNOWN'S BATTLEGROUNDS
30529,2018-12-29,4,3,1,False,Not Recommended,This might just be the WORST game I've ever downloaded off of steam. No strategy slow as **** nothing interesting or innovative. ... just... WHY DO YOU EXIST???,MONSTER HUNTER: WORLD
296966,2017-12-21,2,2,474,False,Recommended,10/10,PLAYERUNKNOWN'S BATTLEGROUNDS
60717,2017-01-06,1,4,857,False,Not Recommended,Product received for free. Out of no where bamn you can get lucky... GOOOD fn job.THE REVIEW STAYS AT 0 BECAUSE THE ONLY GOOD THING ABOUT THIS GAME WAS HOOPS NOW THEY MAKE IS ONLY RANKED. SO INSTEAD OF HAVING FUN YOU HAVE COMPETATIVE F GS.,Rocket League®
391012,2016-07-01,11,5,616,True,Recommended,If your looking for a review on this game you've come to the wrong place but if your looking for an outstanding pie recipe you've come to the right place. (Review at the end)Ingredients 1. 6 tablespoons unsalted butter2. 1/2 cup white sugar3. 1/2 cup brown sugar4. 1/4 cup water5. 1/4 teaspoon cinnamon6. 1 pinch salt7. 5 apples peeled cored and sliced8. 1 pastry for double crust pie Directions 1. Preheat oven to 425 degrees F (220 degrees C).2. Combine butter white sugar brown sugar water cinnamon and salt in a saucepan over medium heat. Bring to a boil remove from heat and set aside.3. Roll out half the pastry to fit a 9 inch pie plate. Place bottom crust in pie plate pour in apple slices.4. Roll out top crust into a 10 inch circle. Cut into 8 (1 inch) wide strips with a sharp paring knife or pastry wheel. Weave the pastry strips one at a time into a lattice pattern. Fold the ends of the lattice strips under the edge of the bottom crust and crimp to seal.5. Pour butter sugar mixture over top of pie coating the lattice and allowing any remaining sauce to drizzle through the crust.6. Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and bake until the crust is golden brown the caramel on the top crust is set and the apple filling is bubbling 35 to 40 more minutes. Allow to cool completely before slicing.I actually really like this game and it is my most played game ever. I started playing 6/12/15 or Developer Blog 69.1 (A Minor Update) and I was absolutely clueless on what to do. If you are new I REALLY recommend from staying away from Official or High pop servers until you learn the ropes. You can play solo or with friends each brings a different experience to the game. The community is always fun to deal with It just really depends on the server and area that you are at. They can either be complete savages or some of the nicest people you will come by. Anyway all of this is just my opinion and review now it is time for you to write yours.,Rust
260084,2018-02-05,2,3,21,False,Not Recommended,HOW AM I SUPPOSED TO JUMP THERE IS NO KEY LABELED SPACE ON MY KEYBOARD. MY FRIEND SAYS I NEED A POWER GLOVE IN ORDER TO PLAY AND IM NOT BUYING A GODAMN ACCESSORY TO PLAY PLAYERUNKOWN'S BATTLEGROUNDSTHIS GAME TRASH DONT BUY UNLESSS YOU WANT TO SPEND +$100 ON DUMB ACCESORIES,PLAYERUNKNOWN'S BATTLEGROUNDS
155133,2015-05-05,1,3,272,False,Recommended,"I like how Rockstar actually hands out bans. Of course people will go ""I swear I didn't do anything.. well maybe I cheated a LITTLE bit but not much!!!"". Hilarious. GTA O is great fun a dozen times so if you get some friends to play with you. Now I'm looking forward to more heist DLC.",Grand Theft Auto V
120196,2017-12-21,1,2,290,False,Recommended,Best game,Grand Theft Auto V
114065,2017-06-15,3,3,189,False,Not Recommended,Thanks take two,Grand Theft Auto V
366058,2018-04-28,2,4,4,False,Not Recommended,So toxic it is essentially unplayable.,Rust
120726,2015-12-25,3,2,538,False,Recommended,I finnaly got past the loading screen.,Grand Theft Auto V
218843,2017-09-23,1,3,0,True,Not Recommended,Overhyped poorly optimised garbage. Early access games with microtransactions are a joke only to be topped by the developers. Yes I am mad.,PLAYERUNKNOWN'S BATTLEGROUNDS
50336,2017-07-08,1,2,1468,False,Not Recommended,broken matchmaking with derankers and smurfs every other match so those previous 2 games you worked real hard on. wont matter in the slightest because you just lost all the points you earned,Rocket League®
295546,2017-08-03,2,2,892,True,Recommended,China numba wan,PLAYERUNKNOWN'S BATTLEGROUNDS
43866,2015-09-27,2,2,144,False,Recommended,Like football. With cars!,Rocket League®
150768,2017-09-30,2,2,193,False,Not Recommended,Hello. I bought thisfor mickey rahm and hedied cause of it.,Grand Theft Auto V
215830,2018-07-16,2,2,669,False,Not Recommended,Product received for free. ing,PLAYERUNKNOWN'S BATTLEGROUNDS
433265,2018-04-13,6,3,170,False,Recommended,Oldrim ruined my social life in high school SSE is now ruining my social life 2 years later. 10/10.Send help.,The Elder Scrolls V: Skyrim Special Edition
260423,2017-10-29,2,2,191,True,Not Recommended,fix your game you ing dolts,PLAYERUNKNOWN'S BATTLEGROUNDS
50291,2018-01-15,2,2,518,False,Not Recommended,"It would be fun if you did not have to play with random people. An online game so that is not possible. pro The game is great it's fun and there is a learning curve. A lot of cosmetic options to it that do not change the gameplay at all.con You need other people to play it. This comes (as usual) with an extreme ammount of idiots smurfs toxic ppl trade bots trolls terrible players afk people ""sorry im deranking"" people and a**holes in general. Just like every other online game in the history of games this one is also ruined by all the people playing it.pro Addictive enough to make you come back every day and simple enough not to make you tired after playing.con Causes a lot of stress and anger because of other people ruining 99% of your games.another con It has a simple but a 'high punishment' ranking system that will derank you much faster than let you rank up. With the game being what it is this rank is BARELY in your control. You will be ranked by the skill of people you play with and no matter how good you are someone is always bad enough to make your skill useless. Ofc this goes in the other way too. You WILL derank much better people because they will be unlucky enough to get you. It is a fact.Not recommended to anyone (like me) who does not have friends to play it with all the time and is forced to solo queue. If you DO have ppl to play it with and will NEVER have to queue solo it's a great game you will enjoy it.",Rocket League®
169512,2017-08-31,2,2,19,False,Not Recommended,This game is not very realistic 0/10 (Roblox rip off),Grand Theft Auto V
134591,2015-12-15,1,2,57,False,Recommended,I have moved from being a console pesant to being a master gamer! But lets do the review First of all great graphics on PC! the mods on here just make everything so much more fun! loving the single player mode and multiplayer! 10/10 would not go back to CONSOLE!!,Grand Theft Auto V
296690,2017-07-23,2,3,96,True,Not Recommended,This game is by far one of the buggiest games that has ever been made. the controls are sluggish and the graphics are trash. I really regret putting over 30 hours in this retard game because its terrible and H1Z1 is far better in every aspect 0/10,PLAYERUNKNOWN'S BATTLEGROUNDS
264748,2018-07-17,1,4,5,False,Not Recommended,WarZ clone,PLAYERUNKNOWN'S BATTLEGROUNDS
259473,2017-10-26,2,2,52,False,Not Recommended,"&gt Paid 30 to play the ""most succesful battleroyale game""&gt Downloaded it for 2 hours&gt Got in a game&gt Walked 3 minutes to find a house&gt Got loot&gt 20 minutes later 13 players left&lt &gt Saw some players&gt Went to loot some more&gt Got stuck between a door and a wall&gt Got killed with 7 players leftThanks BlueholeTL DR Its laggy its buggy its boring its slow its repeitive its not worth it UNLESS you have a full squad to play with then its fun for the first 2 games.",PLAYERUNKNOWN'S BATTLEGROUNDS
433181,2016-09-11,1,11,12,True,Not Recommended,Very bad,ARK: Survival Evolved
29886,2018-09-16,2,3,10,False,Not Recommended,"&lt 2 hours play review keep that in mind if you read )I honestly do not understand why this game is gaining such fandom on the PC but each to their own I guess. I review this as a SINGLE PLAYER experience. The graphics are very disappointing. On a high end PC 4k textures are usually standard. These ported console graphics simply look quaint like a children s cartoon. Animation lacks enough frames and looks sloppy like an old Streetfighter game on SNES. Voice acting is sparse. Most of the time you are reading text with the occasional ""over here"" or ""huh"" being voiced. It kills immersion especially as the NPC lips keep moving as if the voice is there. Lip sync when it is there is hilariously bad. You know Half Life 2 got this right in 2004 right? Path finding is horrible unless you already know where to go. Map markers ( firefly guidance ) don t always work if the destination is higher or lower. This is frustrating especially as every 30 seconds someone barks over here . It honestly made me hit my keyboard in frustration. Combat is laughable on Keyboard and Mouse. I cannot use a controller due to a disability so must use a keyboard and mouse. I m used to companies ignoring the disabled but this game still thinks it s on a controller. You end up constantly trying to relock your target or desperately trying to aim your weapon in the hope of hitting something. All the while trying to dodge using the space key and WSAD. Unfortunately this only works about 40% of the time.Despite losing 60 on this poorly ported dross I m going to retire this game. I can t stand the frustration any longer. If console ports are going to happen developers should at least port them properly and respect the new audience.Let me go off slightly off topic and also justify my negative bias I am disappointed with STEAM who refused a refund claiming I'd played this for &gt 2 hours. This is a suspect measurement STEAM claimed &gt 8 hours playing when I'd only owned the game for under 6. (I d actually played 1hr 40 minutes). According to UK law they should refund anyway but apparently STEAM do not respect UK law! If that is the case despite 14 years of purchases and tens of thousands of pounds spent I will finally retire STEAM and move to another platform which I genuinely find a sad way to part company.To think my time with STEAM all started so well with my purchase of Half Life 2 and ended so badly with this lazy cash grab. Next stop trading standards (",MONSTER HUNTER: WORLD
171593,2018-03-25,1,8,1231,False,Recommended,1 100 hours 99% of it in GTA online.Never been banned.No such thing as false bans.,Grand Theft Auto V
136998,2015-04-14,1,6,757,False,Recommended,Finally come to PC how can you not play this game.Run smooth and well optimized10/10,Grand Theft Auto V
252090,2018-04-03,1,2,267,False,Not Recommended,The game is a complete garbage. Why? You go through 6 houses only to find a pistol with 30 ammo and a level 1 helmet. (I mostly land to populated areas but even if I dont the loot is terrible). The game feels like your character is drugged and has sluggish movements (I hover around 120 fps comfortably so its not fps issue). And it is a desync parade.I have no idea why this game became so popular and I wish bankruptcy to those who created it. Thank you very much.This game will not be playable for me if it still feels sluggish and slow and if they dont fix drop rates for actual good weapons.,PLAYERUNKNOWN'S BATTLEGROUNDS
122598,2015-06-14,17,7,180,False,Recommended,I purchased this video game for my 10 year old child for completing his communion. At first we could not figure out how to get the game to load on to his Macintosh laptop but after some time a Windows support representative told us that we could not install the game on Macintosh and had to purchase a Windows computer. I did not want to disappoint my child as I was afraid that he might question his faith if he did not reap the rewards of his hard work for Jesus. We purchased him an Official Dell Windows computer and started to install this video game for him. This is where things took a turn for the worse. When purchasing this game I was under the impression that I was buying my child a Police game where you would stop criminals as the title mentioned who were stealing cars. This game is not what I thought it was and I was appalled to learn that this game was the exact opposite of stopping criminals. You ARE the criminal. I stood there in horror as I watched my devout Christian child steal a car and shoot an automatic assaulting rifle at civilians. I then watched as he took this stolen vehicle and picked up a working girl and took her to a remote location and received favors in return for cash. What horrible person would create such an awful game where the main goal is to sin as much as possible?? This game should be called Grand Theft Satan. I would not recommend this game for any human to play. I had to go to church every day to help me forget the things that I witnessed in that game. As a proud conservative Christian mother I would HIGHLY recommend that this video game gets taken off of steam and the developers are sent to confession. If you want your child to have a soul I suggest you do not purchase this game. 1/10,Grand Theft Auto V
364167,2015-02-01,1,9,114,True,Not Recommended,Good game until they went and re worked everything. They should probably change the video on the market as it's a bit misleading since they reworked it.,Rust
121423,2017-06-18,1,2,378,False,Not Recommended,no mods no fun 0/12 would never play again,Grand Theft Auto V
113699,2017-07-02,1,31,2031,False,Recommended,The game is good. Take Two is not. GTA Online is a massive grind that pushes you to either mod or micro transactions making the Online community quite nasty. Get a group together get into a public session with just you lot in and the game can actually be enjoyed.P.S. Singleplayer isn't that good anymore because they don't really support it. So much content added to the Online but nothing to Singleplayer? Not even the ability to raise the visor on a ing bike helmet??,Grand Theft Auto V
172493,2017-07-02,2,4,288,False,Not Recommended,NO,Grand Theft Auto V
173588,2017-06-21,1,6,76,False,Recommended,Awesome game ! Great single player campaign ! Lots of stuff to do in the online mode co op and pvp modes are ace not to mention the heists ! You might occasionally run into some hackers or modders online so just disconnect from the game lobby and re join. Don't mind the negative reviews it's only because the mods are not allowed on Rockstar's games anymore.,Grand Theft Auto V
243405,2018-10-01,1,2,178,False,Not Recommended,dsync bad optimization impossible to hear footsepts. ,PLAYERUNKNOWN'S BATTLEGROUNDS
166565,2018-09-01,5,3,60,False,Not Recommended,I found stacy playing this and grounded her for a week. Lol.,Grand Theft Auto V
218876,2017-08-04,2,3,34,True,Recommended,mmmmm bad. Based on my previous experience with this game I have come to conclude that the character development in this game is truly awful. While initially appearing as mysterious and confused the protagonist is an incredibly one dimentional figure who does little else than loot dead bodies for valuables exploiting the unfortunate deaths of others not once coming to terms with their own mortality. In addition to this the supporting characters are bland murderous amalgamations of cowardice and hatred who fail to effectively convey the deeper meaning of this game. Although the storyline had great potential it was overshadowed by the vapid interactions between the unfaceted and unlikable characters. Also I got sniped by a guy hiding behind a door. 0/10,PLAYERUNKNOWN'S BATTLEGROUNDS
366755,2014-01-17,1,2,468,True,Recommended,This game is very good but its really really hard. I enjoy it alot but if your alone you have literally no chance in surviving. This game is very good but i hope that in the futere it will be easier to survive.,Rust
122267,2015-05-05,1,15,64,False,Not Recommended,********ONLINE REVIEW**********First heres a note. The people that get banned are those who use mods in online play. If you mod in single player you have little chance to be banned as it does not effect everyone else in the game you are in. Those complaining about being banned are ignorant to the fact that they mess up the servers when they change their files around. This isnt minecraft.I don't recommend this game for online play currently with the amount of modders in the game right now the servers can get laggy. Not only that lots of the content can't be accessed because of the community. People give up after 1 failure in a heist which means you have to look for 3 MORE people to do the heist with again while losing all the progress you made on ur first attempt. It wouldn't be so bad if the load times weren't abysmal but having to wait another 2 mins after some A hole ruins ur fun and leaves is not worth the wait. I rate GTA Online a 4/10 It's great in theory but the execution is no where close to what it should be. Maybe when they fix the game up a bit I might recommend people play online.,Grand Theft Auto V
63982,2015-10-21,1,7,395,False,Not Recommended,Time to update.Full of smurfs. Cant play competetive without one. Mainly play this for the meme no point playing for rank unless you want to commit to hours of play to catchup to skill level of everyone else.,Rocket League®
384092,2016-04-14,1,3,234,True,Recommended,NOT having character customization has been one of the BEST things to happen to Rust!Game developers are more worried about building an experience that works from the ground up. That involves interactions leveling systems and an expansive network of crafting and exploration. The game is in early development and has been for the past 2 almost 3 years. When it's finally released expect your player customization. For now suck it up and continue playing as it doesn't matter much to other players! IF NOBODY GETS TO CUSTOMIZE THEN WHY ARE YOU THROWING A FIT?!Actual game experience is amazing and if you want my honest opinion without the rant towards racist pre pubescent neglected blokes.... Add me and leave a comment on my profile. I'll be glad to share! ),Rust
260421,2017-10-16,1,3,521,True,Not Recommended,"Picked up a Scar L.Killed 3 in a Solo game for the 1st time in a 140 hours.Kill feed shows 15+ kills by one guy in a matter of seconds.Said guy appears behind me like Goku does when he was showing off against the Ginyu.Kills me before I can say &amp quot quot .Everything sucks about this game apart from the Idea and the setting and dying an unlucky death with friends.Some company will soon make something better that works and plays better and most (including me) will either switch to that game or Bluehole will feel threatened enough to finally figure out how to fix PUBG.Update After the ""anti cheat"" update. I've encountered more hackers. Now there is always one every other game. I'm feeling more and more revulsion towards the game everyday now because of the performance and hackers.Autumn Sale Update Brace your servers Optimization is coming.",PLAYERUNKNOWN'S BATTLEGROUNDS
154991,2017-07-20,3,5,5,False,Not Recommended,F**k you Rockstar,Grand Theft Auto V
367192,2015-10-15,2,2,59,True,Recommended,There really is too much I could say about this game. My account only has like 18 hours of play time but in those 18 hours this game has left a huge mark on me.Rust isn't a fast paced FPS.Rust isn't a MOBA.Rust is (quite literally) life.This game teaches you patience perseverance who to trust and how to grow as a person and a leader.Just kidding everyone f*cking kills you and destroys your base 10/10 would die again,Rust
285841,2018-02-19,3,2,866,False,Not Recommended,If I were to list all the bad things about PUBG the list would go around the planet Earth twice. To make the list short here's the postive things about PUBG,PLAYERUNKNOWN'S BATTLEGROUNDS
295131,2017-09-22,1,3,180,True,Not Recommended,Product received for free. OK this is a f cking serious review.THIS PILE OF A GARBAGE TRASH SIMULATOR OF A GAME WHERE EVERY SINGLE HOUSE YOU GO TO SPAWNS A SH!T PISTOL OR SHOTGUN IN A WHOLE F KIN TOWN MEANWHILE PEOPLE WHO GO TO RANDOM HUTS IN THE MIDDLE OF THE F KIN FOREST FIND A F KIN SNIPER RIFLE N SH!ET.Thats the first wrong thing with this game.Second.THE CARS ARE LIKE F KING DINOSAURS THEY ARE EXTINCT HOWEVER IF YOU MANAGE TO FIND ONE AFTER GETTING F CKED IN YOUR A$$ BY THE BLUE ZONE THING YOU ARE EITHER SCREWED FROM IT OR SCREWED CUZ YOUR PILE OF SH!ET VEHICLE MAKES SO MUCH F KING SOUND THAT PEOPLE ACROSS THE GLOBE CAN HEAR YOUR A$$ DRIVE AND SNIPE YOU BY SIMPLY WAITING NEAR THE BLUE BORDER.Third.IF YOU PLAY F KIN DUO OR AS A SQUAD BE PREPARED FOR THE CONSEQUENCES OF BETRAYAL BROKEN FRIENDSHIP AND RAGING MOMENTS. Thank you for reading I hope I made you realize how this game is. Its fun tho.11/10 I would recommend for getting ADHD.,PLAYERUNKNOWN'S BATTLEGROUNDS
241362,2018-06-07,2,2,3,False,Not Recommended,This is like a fu*king mobile game poorly ported to PC,PLAYERUNKNOWN'S BATTLEGROUNDS
61240,2015-07-21,7,3,28,False,Recommended,"Boosting allows me to become a better car bomber than ISIS! 10/10 ""It was okay"" IGNNeeds more Islam.",Rocket League®
366028,2014-06-12,1,4,4,True,Recommended,There's this one guy in red shirt. He keeps killing me everytime I spawn. So from this moment on I am going to train myself in the art of survival. I am gonna get all the good gears on my character find his house blow it up then I am eventually gonna find him and i am gonna take my sweet time rocking the crap out him. You messed with the wrong naked m0Th3rFuc &lt eR!,Rust
8537,2018-07-25,11,26,316,False,Not Recommended,Last update took a fat deuce on survivors. Unnecessary exhaustion nerf was the cherry on top.Time to look for another go to game,Dead by Daylight
391585,2018-02-10,1,6,50,False,Not Recommended,Community full of garbage which includes kids and hella liars with their thrashtalk. Feels sad for our generation,Rust
365053,2015-03-19,2,2,975,True,Recommended,I met up with a group of asians and we formed a small town called china town and beginkilling and eatting other races untill we were all killed by a mysterious black man,Rust
28625,2019-01-17,2,14,156,False,Not Recommended,1. Buy this game if u want to play it solo because it is a ton of fun and the combat is engaging even the grind is fun imo because its just boss fight after boss fight.2. however dont buy this game if u want to play multiplayer or with your friends it is incredibly annoying the amount of disconnects you get from sos flares and from groups in general i join sos flares to not have to play solo and get dced probably 75 % of the time awesome game probably the worse servers i ever played on.,MONSTER HUNTER: WORLD
137017,2015-05-05,7,48,175,False,Not Recommended,You are honestly better off torrenting/pirating this game. Not only because Rockstar will ban you for an FoV mod but because this over hyped game and developer doesn't deserve the $60 that people wasted just to get banned.2/10 Game got progressively worse over the time it was released,Grand Theft Auto V
115580,2017-02-19,2,3,201,False,Not Recommended,10/10 would have all my GTA 5 online data be reset and banned for a month because of rockstar again.,Grand Theft Auto V
116846,2015-05-05,1,5,416,False,Not Recommended,Got banned for just looking at the game. 10/10 best game best game ever.,Grand Theft Auto V
365547,2017-04-11,2,10,15,True,Recommended,畫面好到我整張GTX 960燒掉 整體 9/10,Rust
116249,2015-04-29,5,13,166,False,Recommended,halo,Grand Theft Auto V
245464,2017-03-26,2,3,244,True,Recommended,Product received for free. This lag and bug simulator is even better than Ubisoft's. Would totaly recommend it.,PLAYERUNKNOWN'S BATTLEGROUNDS
